"","sample_name","cluster_color","cluster_order","cluster_label","class_color","class_order","class_label","subclass_color","subclass_order","subclass_label","full_genotype_label","donor_sex_label","region_label","cortical_layer_label","cell_type_accession_label","external_donor_name_label"
"F1S4_170712_112_C01","F1S4_170712_112_C01","#936052",6,"Inh L5-6 LAMP5 SFTA3","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"M","CgG","L6","CS1910121006","H200.1030"
"F1S4_170712_112_D01","F1S4_170712_112_D01","#E89C04",38,"Inh L5-6 SST ISOC1","#0066FF",4,"GABAergic","#FFE500",4,"SST",NA,"M","CgG","L6","CS1910121038","H200.1030"
"F2S4_170621_101_H01","F2S4_170621_101_H01","#A77B6E",119,"Peri L1-6 MUSTN1","#17994B",3,"Non-neuronal","#992E8E",18,"Pericyte",NA,"F","V1C","L6a","CS1910121119","H200.1023"
"F2S4_170628_068_H01","F2S4_170628_068_H01","#71AF9A",116,"Oligo L4-6 OPALIN","#17994B",3,"Non-neuronal","#311799",15,"Oligodendrocyte",NA,"M","V1C","L4c","CS1910121116","H200.1030"
"F1S4_170712_015_C01","F1S4_170712_015_C01","#D97807",40,"Inh L3-5 SST MAFB","#0066FF",4,"GABAergic","#FFE500",4,"SST",NA,"M","CgG","L2","CS1910121040","H200.1030"
"F1S4_170712_015_H01","F1S4_170712_015_H01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"M","CgG","L2","CS1910121111","H200.1030"
"F1S4_170712_017_C01","F1S4_170712_017_C01","#EA2C44",49,"Inh L2-4 PVALB C8orf4","#0066FF",4,"GABAergic","#B6CC5C",5,"PVALB",NA,"M","CgG","L2","CS1910121049","H200.1030"
"F2S4_170628_072_C01","F2S4_170628_072_C01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121057","H200.1030"
"F1S4_170712_080_F01","F1S4_170712_080_F01","#3CAD5F",108,"Exc L5-6 FEZF2 CYP26B1","#AFCC3D",2,"Glutamatergic","#006B99",12,"L5/6 NP",NA,"M","CgG","L6","CS1910121108","H200.1030"
"F1S4_170712_023_C01","F1S4_170712_023_C01","#CC6FF1",16,"Inh L1 SST CXCL14","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"M","CgG","L2","CS1910121016","H200.1030"
"F1S4_170712_023_F01","F1S4_170712_023_F01","#D26ECA",24,"Inh L3-6 VIP KCTD13","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"M","CgG","L2","CS1910121024","H200.1030"
"F1S4_170712_108_B01","F1S4_170712_108_B01","#3CAD5F",108,"Exc L5-6 FEZF2 CYP26B1","#AFCC3D",2,"Glutamatergic","#006B99",12,"L5/6 NP",NA,"M","CgG","L6","CS1910121108","H200.1030"
"F1S4_170712_109_E01","F1S4_170712_109_E01","#5494B3",94,"Exc L6 FEZF2 FAM95C","#AFCC3D",2,"Glutamatergic","#459967",9,"L6 CT",NA,"M","CgG","L6","CS1910121094","H200.1030"
"F2S4_170621_104_G01","F2S4_170621_104_G01","#469DAD",96,"Exc L6 FEZF2 ETV4","#AFCC3D",2,"Glutamatergic","#459967",9,"L6 CT",NA,"F","V1C","L6a","CS1910121096","H200.1023"
"F2S4_170628_073_F01","F2S4_170628_073_F01","#0A4657",102,"Exc L3-5 FEZF2 ONECUT1","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"M","V1C","L4c","CS1910121102","H200.1030"
"F1S4_170712_055_G01","F1S4_170712_055_G01","#520DBB",90,"Exc L5-6 THEMIS GPR21","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"M","CgG","L5a","CS1910121090","H200.1030"
"F1S4_170712_057_H01","F1S4_170712_057_H01","#2E3E39",114,"OPC L1-6 MYT1","#17994B",3,"Non-neuronal","#3D4BCC",14,"OPC",NA,"M","CgG","L5a","CS1910121114","H200.1030"
"F1S4_170712_083_A01","F1S4_170712_083_A01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","CgG","L6","CS1910121098","H200.1030"
"F1S4_170712_083_E01","F1S4_170712_083_E01","#B9814D",7,"Inh L1-2 PAX6 SCGN","#0066FF",4,"GABAergic","#CC683D",2,"PAX6",NA,"M","CgG","L6","CS1910121007","H200.1030"
"F2S4_170621_108_F01","F2S4_170621_108_F01","#469DAD",96,"Exc L6 FEZF2 ETV4","#AFCC3D",2,"Glutamatergic","#459967",9,"L6 CT",NA,"F","V1C","L6a","CS1910121096","H200.1023"
"F1S4_170712_018_G01","F1S4_170712_018_G01","#E693CE",35,"Inh L3 VIP CBLN1","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"M","CgG","L2","CS1910121035","H200.1030"
"F1S4_170712_018_H01","F1S4_170712_018_H01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"M","CgG","L2","CS1910121111","H200.1030"
"F1S4_170712_019_A01","F1S4_170712_019_A01","#8E5A63",3,"Inh L1-4 LAMP5 DUSP4","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"M","CgG","L2","CS1910121003","H200.1030"
"F1S4_170712_062_E01","F1S4_170712_062_E01","#9C28CC",11,"Inh L1-3 PAX6 NABP1","#0066FF",4,"GABAergic","#CC683D",2,"PAX6",NA,"M","CgG","L5b","CS1910121011","H200.1030"
"F1S4_170712_062_F01","F1S4_170712_062_F01","#B65FBF",23,"Inh L2-6 VIP VIP","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"M","CgG","L5b","CS1910121023","H200.1030"
"F1S4_170712_063_F01","F1S4_170712_063_F01","#14718F",105,"Exc L5 FEZF2 MORN2","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"M","CgG","L5b","CS1910121105","H200.1030"
"F1S4_170712_088_D01","F1S4_170712_088_D01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","CgG","L6","CS1910121098","H200.1030"
"F1S4_170712_089_F01","F1S4_170712_089_F01","#E89C04",38,"Inh L5-6 SST ISOC1","#0066FF",4,"GABAergic","#FFE500",4,"SST",NA,"M","CgG","L6","CS1910121038","H200.1030"
"F1S4_170712_089_G01","F1S4_170712_089_G01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","CgG","L6","CS1910121098","H200.1030"
"F2S4_170621_062_D01","F2S4_170621_062_D01","#20D187",59,"Exc L4 RORB CACNG5","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"F","V1C","L4c","CS1910121059","H200.1023"
"F2S4_170628_080_C01","F2S4_170628_080_C01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121057","H200.1030"
"F1S4_170712_020_H01","F1S4_170712_020_H01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"M","CgG","L2","CS1910121111","H200.1030"
"F1S4_170712_022_F01","F1S4_170712_022_F01","#14718F",105,"Exc L5 FEZF2 MORN2","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"M","CgG","L2","CS1910121105","H200.1030"
"F1S4_170712_090_D01","F1S4_170712_090_D01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","CgG","L6","CS1910121098","H200.1030"
"F1S4_170712_090_E01","F1S4_170712_090_E01","#14718F",105,"Exc L5 FEZF2 MORN2","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"M","CgG","L6","CS1910121105","H200.1030"
"F1S4_170712_065_A01","F1S4_170712_065_A01","#945E51",5,"Inh L1-6 LAMP5 CA13","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"M","CgG","L5b","CS1910121005","H200.1030"
"F1S4_170712_094_D01","F1S4_170712_094_D01","#5494B3",94,"Exc L6 FEZF2 FAM95C","#AFCC3D",2,"Glutamatergic","#459967",9,"L6 CT",NA,"M","CgG","L6","CS1910121094","H200.1030"
"F2S4_170725_036_H01","F2S4_170725_036_H01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"M","CgG","L2","CS1910121111","H200.1025"
"F2S4_170725_065_B01","F2S4_170725_065_B01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"M","CgG","L6","CS1910121111","H200.1025"
"F1S4_170712_031_H01","F1S4_170712_031_H01","#2E3E39",114,"OPC L1-6 MYT1","#17994B",3,"Non-neuronal","#3D4BCC",14,"OPC",NA,"M","CgG","L2","CS1910121114","H200.1030"
"F1S4_170712_066_A01","F1S4_170712_066_A01","#A33527",48,"Inh L5 PVALB CNTNAP3P2","#0066FF",4,"GABAergic","#B6CC5C",5,"PVALB",NA,"M","CgG","L5b","CS1910121048","H200.1030"
"F1S4_170712_096_G01","F1S4_170712_096_G01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","CgG","L6","CS1910121098","H200.1030"
"F2S4_170720_012_E01","F2S4_170720_012_E01","#A6666F",9,"Inh L1 PAX6 CA4","#0066FF",4,"GABAergic","#CC683D",2,"PAX6",NA,"F","CgG","L1","CS1910121009","H200.1023"
"F2S4_170720_060_H01","F2S4_170720_060_H01","#8BA38D",120,"Micro L1-6 C1QC","#17994B",3,"Non-neuronal","#FF26A8",19,"Microglia",NA,"F","CgG","L5a","CS1910121120","H200.1023"
"F1S4_170712_033_H01","F1S4_170712_033_H01","#2E3E39",114,"OPC L1-6 MYT1","#17994B",3,"Non-neuronal","#3D4BCC",14,"OPC",NA,"M","CgG","L2","CS1910121114","H200.1030"
"F1S4_170712_067_B01","F1S4_170712_067_B01","#A33527",48,"Inh L5 PVALB CNTNAP3P2","#0066FF",4,"GABAergic","#B6CC5C",5,"PVALB",NA,"M","CgG","L5b","CS1910121048","H200.1030"
"F1S4_170712_099_H01","F1S4_170712_099_H01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"M","CgG","L6","CS1910121111","H200.1030"
"F1S4_170712_100_F01","F1S4_170712_100_F01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","CgG","L6","CS1910121098","H200.1030"
"F2S4_170718_092_B01","F2S4_170718_092_B01","#936052",6,"Inh L5-6 LAMP5 SFTA3","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"M","V1C","L5","CS1910121006","H200.1025"
"F1S4_170712_037_E01","F1S4_170712_037_E01","#B65FBF",23,"Inh L2-6 VIP VIP","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"M","CgG","L2","CS1910121023","H200.1030"
"F2S4_170718_014_C01","F2S4_170718_014_C01","#8E5A63",3,"Inh L1-4 LAMP5 DUSP4","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"M","V1C","L2","CS1910121003","H200.1025"
"F2S4_170718_044_E01","F2S4_170718_044_E01","#996A0E",41,"Inh L4-6 SST MTHFD2P6","#0066FF",4,"GABAergic","#FFE500",4,"SST",NA,"M","V1C","L4ab","CS1910121041","H200.1025"
"F1S4_170712_003_E01","F1S4_170712_003_E01","#A6666F",9,"Inh L1 PAX6 CA4","#0066FF",4,"GABAergic","#CC683D",2,"PAX6",NA,"M","CgG","L1","CS1910121009","H200.1030"
"F1S4_170712_040_B01","F1S4_170712_040_B01","#D26ECB",20,"Inh L1-5 VIP KCNJ2","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"M","CgG","L2","CS1910121020","H200.1030"
"F1S4_170712_040_G01","F1S4_170712_040_G01","#02ED33",63,"Exc L3 LINC00507 PSRC1","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"M","CgG","L2","CS1910121063","H200.1030"
"F1S4_170712_105_H01","F1S4_170712_105_H01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"M","CgG","L6","CS1910121111","H200.1030"
"F1S4_170712_007_F01","F1S4_170712_007_F01","#CC6FF1",16,"Inh L1 SST CXCL14","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"M","CgG","L1","CS1910121016","H200.1030"
"F1S4_170712_007_H01","F1S4_170712_007_H01","#2E3E39",114,"OPC L1-6 MYT1","#17994B",3,"Non-neuronal","#3D4BCC",14,"OPC",NA,"M","CgG","L1","CS1910121114","H200.1030"
"F1S4_170712_043_A01","F1S4_170712_043_A01","#A33527",48,"Inh L5 PVALB CNTNAP3P2","#0066FF",4,"GABAergic","#B6CC5C",5,"PVALB",NA,"M","CgG","L2","CS1910121048","H200.1030"
"F1S4_170712_043_C01","F1S4_170712_043_C01","#00FF34",62,"Exc L2-3 LINC00507 RPL9P17","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"M","CgG","L2","CS1910121062","H200.1030"
"F1S4_170712_068_B01","F1S4_170712_068_B01","#14718F",105,"Exc L5 FEZF2 MORN2","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"M","CgG","L5b","CS1910121105","H200.1030"
"F1S4_170712_068_F01","F1S4_170712_068_F01","#3DAD5E",107,"Exc L5-6 FEZF2 MYBPHL","#AFCC3D",2,"Glutamatergic","#006B99",12,"L5/6 NP",NA,"M","CgG","L5b","CS1910121107","H200.1030"
"F1S4_170712_107_E01","F1S4_170712_107_E01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","CgG","L6","CS1910121098","H200.1030"
"F2S4_170718_005_D01","F2S4_170718_005_D01","#8E5864",2,"Inh L1 LAMP5 GGT8P","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"M","V1C","L1","CS1910121002","H200.1025"
"F1S4_170712_044_G01","F1S4_170712_044_G01","#14718F",105,"Exc L5 FEZF2 MORN2","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"M","CgG","L2","CS1910121105","H200.1030"
"F1S4_170712_069_F01","F1S4_170712_069_F01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","CgG","L5b","CS1910121098","H200.1030"
"F1S4_170712_070_D01","F1S4_170712_070_D01","#5494B3",94,"Exc L6 FEZF2 FAM95C","#AFCC3D",2,"Glutamatergic","#459967",9,"L6 CT",NA,"M","CgG","L5b","CS1910121094","H200.1030"
"F2S4_170718_041_F01","F2S4_170718_041_F01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4ab","CS1910121057","H200.1025"
"F1S4_170712_048_H01","F1S4_170712_048_H01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"M","CgG","L2","CS1910121111","H200.1030"
"F2S4_170718_027_D01","F2S4_170718_027_D01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4ab","CS1910121057","H200.1025"
"F2S4_170718_028_F01","F2S4_170718_028_F01","#20D387",60,"Exc L4-5 RORB ASCL1","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4ab","CS1910121060","H200.1025"
"F1S4_170712_072_E01","F1S4_170712_072_E01","#14718F",105,"Exc L5 FEZF2 MORN2","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"M","CgG","L5b","CS1910121105","H200.1030"
"F2S4_170718_108_C01","F2S4_170718_108_C01","#5504EC",88,"Exc L5-6 THEMIS IL7R","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"M","V1C","L6a","CS1910121088","H200.1025"
"F2S4_170718_108_D01","F2S4_170718_108_D01","#3DAD5E",107,"Exc L5-6 FEZF2 MYBPHL","#AFCC3D",2,"Glutamatergic","#006B99",12,"L5/6 NP",NA,"M","V1C","L6a","CS1910121107","H200.1025"
"F2S4_170720_004_D01","F2S4_170720_004_D01","#8B5862",1,"Inh L1 LAMP5 NDNF","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"F","CgG","L1","CS1910121001","H200.1023"
"F2S4_170720_004_E01","F2S4_170720_004_E01","#CC6FF1",16,"Inh L1 SST CXCL14","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"F","CgG","L1","CS1910121016","H200.1023"
"F1S4_170712_074_C01","F1S4_170712_074_C01","#E89C04",38,"Inh L5-6 SST ISOC1","#0066FF",4,"GABAergic","#FFE500",4,"SST",NA,"M","CgG","L5b","CS1910121038","H200.1030"
"F2S4_170718_110_C01","F2S4_170718_110_C01","#479AB0",92,"Exc L6 FEZF2 VWA2","#AFCC3D",2,"Glutamatergic","#459967",9,"L6 CT",NA,"M","V1C","L6b","CS1910121092","H200.1025"
"F2S4_170718_113_E01","F2S4_170718_113_E01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"M","V1C","L6b","CS1910121098","H200.1025"
"F2S4_170720_006_F01","F2S4_170720_006_F01","#8B5862",1,"Inh L1 LAMP5 NDNF","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"F","CgG","L1","CS1910121001","H200.1023"
"F2S4_170720_006_G01","F2S4_170720_006_G01","#CC6FF1",16,"Inh L1 SST CXCL14","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"F","CgG","L1","CS1910121016","H200.1023"
"F2S4_170720_081_B01","F2S4_170720_081_B01","#174ABE",98,"Exc L6 FEZF2 KRT17","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"F","CgG","L6","CS1910121098","H200.1023"
"F2S4_170718_031_E01","F2S4_170718_031_E01","#D92D43",52,"Inh L3-4 PVALB HOMER3","#0066FF",4,"GABAergic","#B6CC5C",5,"PVALB",NA,"M","V1C","L4ab","CS1910121052","H200.1025"
"F2S4_170718_081_B01","F2S4_170718_081_B01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"M","V1C","L5","CS1910121111","H200.1025"
"F2S4_170718_033_F01","F2S4_170718_033_F01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4ab","CS1910121057","H200.1025"
"F2S4_170718_084_E01","F2S4_170718_084_E01","#60958B",84,"Exc L4-5 RORB RPL31P31","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"M","V1C","L5","CS1910121084","H200.1025"
"F2S4_170802_073_B01","F2S4_170802_073_B01","#14718F",105,"Exc L5 FEZF2 MORN2","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"F","CgG","L5b","CS1910121105","H200.1023"
"F2S4_170802_136_A01","F2S4_170802_136_A01","#7F48B8",100,"Exc L6 FEZF2 SLITRK6","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"F","CgG","L6","CS1910121100","H200.1023"
"F2S4_170802_136_D01","F2S4_170802_136_D01","#520DBB",90,"Exc L5-6 THEMIS GPR21","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"F","CgG","L6","CS1910121090","H200.1023"
"F2S4_170802_136_H01","F2S4_170802_136_H01","#7C3B2B",45,"Inh L5-6 PVALB FAM150B","#0066FF",4,"GABAergic","#B6CC5C",5,"PVALB",NA,"F","CgG","L6","CS1910121045","H200.1023"
"F2S4_170718_010_H01","F2S4_170718_010_H01","#8BA38D",120,"Micro L1-6 C1QC","#17994B",3,"Non-neuronal","#FF26A8",19,"Microglia",NA,"M","V1C","L2","CS1910121120","H200.1025"
"F2S4_170718_011_H01","F2S4_170718_011_H01","#604B47",117,"Endo L2-5 CLDN5","#17994B",3,"Non-neuronal","#7F00FF",16,"Endothelial",NA,"M","V1C","L2","CS1910121117","H200.1025"
"F2S4_170718_051_C01","F2S4_170718_051_C01","#20D187",59,"Exc L4 RORB CACNG5","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121059","H200.1025"
"F2S4_170718_012_C01","F2S4_170718_012_C01","#21D587",55,"Exc L2-4 RORB GRIK1","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L2","CS1910121055","H200.1025"
"F2S4_170718_095_H01","F2S4_170718_095_H01","#73B29E",115,"Oligo L4-6 MOBP COL18A1","#17994B",3,"Non-neuronal","#311799",15,"Oligodendrocyte",NA,"M","V1C","L6a","CS1910121115","H200.1025"
"F2S4_170718_096_H01","F2S4_170718_096_H01","#71AF9A",116,"Oligo L4-6 OPALIN","#17994B",3,"Non-neuronal","#311799",15,"Oligodendrocyte",NA,"M","V1C","L6a","CS1910121116","H200.1025"
"F2S4_170720_008_C01","F2S4_170720_008_C01","#A6666F",9,"Inh L1 PAX6 CA4","#0066FF",4,"GABAergic","#CC683D",2,"PAX6",NA,"F","CgG","L1","CS1910121009","H200.1023"
"F2S4_170808_027_E01","F2S4_170808_027_E01","#A6666F",9,"Inh L1 PAX6 CA4","#0066FF",4,"GABAergic","#CC683D",2,"PAX6",NA,"F","V1C","L3","CS1910121009","H200.1023"
"F2S4_170718_056_G01","F2S4_170718_056_G01","#D92D43",52,"Inh L3-4 PVALB HOMER3","#0066FF",4,"GABAergic","#B6CC5C",5,"PVALB",NA,"M","V1C","L4c","CS1910121052","H200.1025"
"F2S4_170718_089_G01","F2S4_170718_089_G01","#60958B",84,"Exc L4-5 RORB RPL31P31","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"M","V1C","L5","CS1910121084","H200.1025"
"F2S4_170718_091_H01","F2S4_170718_091_H01","#71AF9A",116,"Oligo L4-6 OPALIN","#17994B",3,"Non-neuronal","#311799",15,"Oligodendrocyte",NA,"M","V1C","L5","CS1910121116","H200.1025"
"F2S4_170718_099_C01","F2S4_170718_099_C01","#469DAD",96,"Exc L6 FEZF2 ETV4","#AFCC3D",2,"Glutamatergic","#459967",9,"L6 CT",NA,"M","V1C","L6a","CS1910121096","H200.1025"
"F2S4_170718_099_G01","F2S4_170718_099_G01","#5504EC",88,"Exc L5-6 THEMIS IL7R","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"M","V1C","L6a","CS1910121088","H200.1025"
"F2S4_170808_110_C01","F2S4_170808_110_C01","#296B98",95,"Exc L6 FEZF2 CPZ","#AFCC3D",2,"Glutamatergic","#459967",9,"L6 CT",NA,"F","V1C","L6b","CS1910121095","H200.1023"
"F2S4_170621_068_B01","F2S4_170621_068_B01","#D92D43",52,"Inh L3-4 PVALB HOMER3","#0066FF",4,"GABAergic","#B6CC5C",5,"PVALB",NA,"F","V1C","L4c","CS1910121052","H200.1023"
"F2S4_170718_062_E01","F2S4_170718_062_E01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121057","H200.1025"
"F2S4_170718_100_C01","F2S4_170718_100_C01","#3DAD5E",107,"Exc L5-6 FEZF2 MYBPHL","#AFCC3D",2,"Glutamatergic","#006B99",12,"L5/6 NP",NA,"M","V1C","L6a","CS1910121107","H200.1025"
"F2S4_170718_100_E01","F2S4_170718_100_E01","#5504EC",88,"Exc L5-6 THEMIS IL7R","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"M","V1C","L6a","CS1910121088","H200.1025"
"F2S4_170720_084_D01","F2S4_170720_084_D01","#A63827",47,"Inh L5-6 PVALB STON2","#0066FF",4,"GABAergic","#B6CC5C",5,"PVALB",NA,"F","CgG","L6","CS1910121047","H200.1023"
"F2S4_170718_064_F01","F2S4_170718_064_F01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121057","H200.1025"
"F2S4_170718_102_G01","F2S4_170718_102_G01","#479AB0",92,"Exc L6 FEZF2 VWA2","#AFCC3D",2,"Glutamatergic","#459967",9,"L6 CT",NA,"M","V1C","L6a","CS1910121092","H200.1025"
"F2S4_170621_072_D01","F2S4_170621_072_D01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"F","V1C","L4c","CS1910121057","H200.1023"
"F2S4_170718_066_F01","F2S4_170718_066_F01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121057","H200.1025"
"F2S4_170718_105_G01","F2S4_170718_105_G01","#5504EC",88,"Exc L5-6 THEMIS IL7R","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"M","V1C","L6a","CS1910121088","H200.1025"
"F2S4_170720_087_H01","F2S4_170720_087_H01","#8BA38D",120,"Micro L1-6 C1QC","#17994B",3,"Non-neuronal","#FF26A8",19,"Microglia",NA,"F","CgG","L6","CS1910121120","H200.1023"
"F2S4_170621_075_G01","F2S4_170621_075_G01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"F","V1C","L4c","CS1910121057","H200.1023"
"F2S4_170718_070_H01","F2S4_170718_070_H01","#8BA38D",120,"Micro L1-6 C1QC","#17994B",3,"Non-neuronal","#FF26A8",19,"Microglia",NA,"M","V1C","L4c","CS1910121120","H200.1025"
"F2S4_170720_009_A01","F2S4_170720_009_A01","#F1849C",13,"Inh L1 VIP PRSS8","#0066FF",4,"GABAergic","#996517",3,"VIP",NA,"F","CgG","L1","CS1910121013","H200.1023"
"F2S4_170720_009_F01","F2S4_170720_009_F01","#A6666F",9,"Inh L1 PAX6 CA4","#0066FF",4,"GABAergic","#CC683D",2,"PAX6",NA,"F","CgG","L1","CS1910121009","H200.1023"
"F2S4_170720_010_C01","F2S4_170720_010_C01","#A6666F",9,"Inh L1 PAX6 CA4","#0066FF",4,"GABAergic","#CC683D",2,"PAX6",NA,"F","CgG","L1","CS1910121009","H200.1023"
"F2S4_170720_090_C01","F2S4_170720_090_C01","#184AC1",97,"Exc L6 FEZF2 TBC1D26","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"F","CgG","L6","CS1910121097","H200.1023"
"F2S4_170720_090_E01","F2S4_170720_090_E01","#520DBB",90,"Exc L5-6 THEMIS GPR21","#AFCC3D",2,"Glutamatergic","#00CC14",8,"L5/6 IT Car3",NA,"F","CgG","L6","CS1910121090","H200.1023"
"F2S4_170720_014_H01","F2S4_170720_014_H01","#8BA38D",120,"Micro L1-6 C1QC","#17994B",3,"Non-neuronal","#FF26A8",19,"Microglia",NA,"F","CgG","L2","CS1910121120","H200.1023"
