"","sample_name","cluster_color","cluster_order","cluster_label","class_color","class_order","class_label","subclass_color","subclass_order","subclass_label","full_genotype_label","donor_sex_label","region_label","cortical_layer_label","cell_type_accession_label","external_donor_name_label"
"F2S4_170531_015_D01","F2S4_170531_015_D01","#71AF9A",116,"Oligo L4-6 OPALIN","#17994B",3,"Non-neuronal","#311799",15,"Oligodendrocyte",NA,"M","CgG","L2","CS1910121116","H200.1030"
"F1S4_170517_066_C01","F1S4_170517_066_C01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121057","H200.1030"
"F1S4_170517_066_F01","F1S4_170517_066_F01","#8E5A63",3,"Inh L1-4 LAMP5 DUSP4","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"M","V1C","L4c","CS1910121003","H200.1030"
"F1S4_170517_067_C01","F1S4_170517_067_C01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121057","H200.1030"
"F1S4_170517_068_A01","F1S4_170517_068_A01","#24D388",57,"Exc L4 RORB BHLHE22","#AFCC3D",2,"Glutamatergic","#63992E",6,"L4 IT",NA,"M","V1C","L4c","CS1910121057","H200.1030"
"F1S4_170524_059_A01","F1S4_170524_059_A01","#14718F",105,"Exc L5 FEZF2 MORN2","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"F","CgG","L5a","CS1910121105","H200.1023"
"F1S4_170524_059_C01","F1S4_170524_059_C01","#02E2F7",69,"Exc L3-5 RORB HSPB3","#AFCC3D",2,"Glutamatergic","#52FF26",7,"IT",NA,"F","CgG","L5a","CS1910121069","H200.1023"
"F1S4_170524_096_G01","F1S4_170524_096_G01","#7D45B8",101,"Exc L6 FEZF2 TBCC","#AFCC3D",2,"Glutamatergic","#4DFFC9",10,"L6b",NA,"F","CgG","L6","CS1910121101","H200.1023"
"F1S4_170524_096_H01","F1S4_170524_096_H01","#73B29E",115,"Oligo L4-6 MOBP COL18A1","#17994B",3,"Non-neuronal","#311799",15,"Oligodendrocyte",NA,"F","CgG","L6","CS1910121115","H200.1023"
"F1S4_170517_073_A01","F1S4_170517_073_A01","#D92D43",52,"Inh L3-4 PVALB HOMER3","#0066FF",4,"GABAergic","#B6CC5C",5,"PVALB",NA,"M","V1C","L4c","CS1910121052","H200.1030"
"F1S4_170524_062_H01","F1S4_170524_062_H01","#312E27",111,"Astro L1-6 FGFR3 ETNPPL","#17994B",3,"Non-neuronal","#73ABFF",13,"Astrocyte",NA,"F","CgG","L5b","CS1910121111","H200.1023"
"F1S4_170524_064_D01","F1S4_170524_064_D01","#14718F",105,"Exc L5 FEZF2 MORN2","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"F","CgG","L5b","CS1910121105","H200.1023"
"F1S4_170524_101_C01","F1S4_170524_101_C01","#936052",6,"Inh L5-6 LAMP5 SFTA3","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"F","CgG","L6","CS1910121006","H200.1023"
"F2S4_170531_018_C01","F2S4_170531_018_C01","#EA2C44",49,"Inh L2-4 PVALB C8orf4","#0066FF",4,"GABAergic","#B6CC5C",5,"PVALB",NA,"M","CgG","L2","CS1910121049","H200.1030"
"F2S4_170531_018_D01","F2S4_170531_018_D01","#8E5A63",3,"Inh L1-4 LAMP5 DUSP4","#0066FF",4,"GABAergic","#FF7373",1,"LAMP5",NA,"M","CgG","L2","CS1910121003","H200.1030"
"F1S4_170517_075_H01","F1S4_170517_075_H01","#8BA38D",120,"Micro L1-6 C1QC","#17994B",3,"Non-neuronal","#FF26A8",19,"Microglia",NA,"M","V1C","L4c","CS1910121120","H200.1030"
"F1S4_170524_066_D01","F1S4_170524_066_D01","#14718F",105,"Exc L5 FEZF2 MORN2","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"F","CgG","L5b","CS1910121105","H200.1023"
"F1S4_170524_067_B01","F1S4_170524_067_B01","#3DAD5E",107,"Exc L5-6 FEZF2 MYBPHL","#AFCC3D",2,"Glutamatergic","#006B99",12,"L5/6 NP",NA,"F","CgG","L5b","CS1910121107","H200.1023"
"F1S4_170524_067_E01","F1S4_170524_067_E01","#14718F",105,"Exc L5 FEZF2 MORN2","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"F","CgG","L5b","CS1910121105","H200.1023"
"F1S4_170524_067_G01","F1S4_170524_067_G01","#14718F",105,"Exc L5 FEZF2 MORN2","#AFCC3D",2,"Glutamatergic","#1FCCCC",11,"L5 ET",NA,"F","CgG","L5b","CS1910121105","H200.1023"
"F2S4_170531_019_H01","F2S4_170531_019_H01","#8BA38D",120,"Micro L1-6 C1QC","#17994B",3,"Non-neuronal","#FF26A8",19,"Microglia",NA,"M","CgG","L2","CS1910121120","H200.1030"
"F1S4_170517_080_H01","F1S4_170517_080_H01","#604B47",117,"Endo L2-5 CLDN5","#17994B",3,"Non-neuronal","#7F00FF",16,"Endothelial",NA,"M","V1C","L4c","CS1910121117","H200.1030"
