gene_symbol,feature_is_filtered,feature_name,feature_reference,feature_biotype
ENSG00000010810,FALSE,FYN,NCBITaxon:9606,gene
ENSG00000010818,FALSE,HIVEP2,NCBITaxon:9606,gene
ENSG00000010932,FALSE,FMO1,NCBITaxon:9606,gene
ENSG00000011007,FALSE,ELOA,NCBITaxon:9606,gene
ENSG00000011009,FALSE,LYPLA2,NCBITaxon:9606,gene
ENSG00000011021,FALSE,CLCN6,NCBITaxon:9606,gene
ENSG00000011028,FALSE,MRC2,NCBITaxon:9606,gene
ENSG00000011083,FALSE,SLC6A7,NCBITaxon:9606,gene
ENSG00000011105,FALSE,TSPAN9,NCBITaxon:9606,gene
ENSG00000011114,FALSE,BTBD7,NCBITaxon:9606,gene
ENSG00000011132,FALSE,APBA3,NCBITaxon:9606,gene
ENSG00000011143,FALSE,MKS1,NCBITaxon:9606,gene
ENSG00000011198,FALSE,ABHD5,NCBITaxon:9606,gene
ENSG00000011201,FALSE,ANOS1,NCBITaxon:9606,gene
ENSG00000011243,FALSE,AKAP8L,NCBITaxon:9606,gene
ENSG00000011258,FALSE,MBTD1,NCBITaxon:9606,gene
ENSG00000011260,FALSE,UTP18,NCBITaxon:9606,gene
ENSG00000011275,FALSE,RNF216,NCBITaxon:9606,gene
ENSG00000011295,FALSE,TTC19,NCBITaxon:9606,gene
ENSG00000011304,FALSE,PTBP1,NCBITaxon:9606,gene
ENSG00000011332,FALSE,DPF1,NCBITaxon:9606,gene
ENSG00000011347,FALSE,SYT7,NCBITaxon:9606,gene
ENSG00000011376,FALSE,LARS2,NCBITaxon:9606,gene
ENSG00000011405,FALSE,PIK3C2A,NCBITaxon:9606,gene
ENSG00000011422,FALSE,PLAUR,NCBITaxon:9606,gene
ENSG00000011426,FALSE,ANLN,NCBITaxon:9606,gene
ENSG00000011451,FALSE,WIZ,NCBITaxon:9606,gene
ENSG00000011454,FALSE,RABGAP1,NCBITaxon:9606,gene
ENSG00000011465,FALSE,DCN,NCBITaxon:9606,gene
ENSG00000011478,FALSE,QPCTL,NCBITaxon:9606,gene
ENSG00000011485,FALSE,PPP5C,NCBITaxon:9606,gene
ENSG00000011523,FALSE,CEP68,NCBITaxon:9606,gene
ENSG00000011566,FALSE,MAP4K3,NCBITaxon:9606,gene
ENSG00000011590,FALSE,ZBTB32,NCBITaxon:9606,gene
ENSG00000011600,FALSE,TYROBP,NCBITaxon:9606,gene
ENSG00000011638,FALSE,TMEM159,NCBITaxon:9606,gene
ENSG00000011677,FALSE,GABRA3,NCBITaxon:9606,gene
ENSG00000012048,FALSE,BRCA1,NCBITaxon:9606,gene
ENSG00000012061,FALSE,ERCC1,NCBITaxon:9606,gene
ENSG00000012124,FALSE,CD22,NCBITaxon:9606,gene
ENSG00000012171,FALSE,SEMA3B,NCBITaxon:9606,gene
ENSG00000012174,FALSE,MBTPS2,NCBITaxon:9606,gene
ENSG00000012211,FALSE,PRICKLE3,NCBITaxon:9606,gene
ENSG00000012223,FALSE,LTF,NCBITaxon:9606,gene
ENSG00000012232,FALSE,EXTL3,NCBITaxon:9606,gene
ENSG00000012504,FALSE,NR1H4,NCBITaxon:9606,gene
ENSG00000012660,FALSE,ELOVL5,NCBITaxon:9606,gene
ENSG00000012779,FALSE,ALOX5,NCBITaxon:9606,gene
ENSG00000012817,FALSE,KDM5D,NCBITaxon:9606,gene
ENSG00000012822,FALSE,CALCOCO1,NCBITaxon:9606,gene
ENSG00000012963,FALSE,UBR7,NCBITaxon:9606,gene
ENSG00000012983,FALSE,MAP4K5,NCBITaxon:9606,gene
ENSG00000013016,FALSE,EHD3,NCBITaxon:9606,gene
ENSG00000013275,FALSE,PSMC4,NCBITaxon:9606,gene
ENSG00000013288,FALSE,MAN2B2,NCBITaxon:9606,gene
ENSG00000013293,FALSE,SLC7A14,NCBITaxon:9606,gene
ENSG00000013297,FALSE,CLDN11,NCBITaxon:9606,gene
ENSG00000013306,FALSE,SLC25A39,NCBITaxon:9606,gene
ENSG00000013364,FALSE,MVP,NCBITaxon:9606,gene
ENSG00000013374,FALSE,NUB1,NCBITaxon:9606,gene
ENSG00000013375,FALSE,PGM3,NCBITaxon:9606,gene
ENSG00000013392,FALSE,RWDD2A,NCBITaxon:9606,gene
ENSG00000013441,FALSE,CLK1,NCBITaxon:9606,gene
ENSG00000013503,FALSE,POLR3B,NCBITaxon:9606,gene
ENSG00000013523,FALSE,ANGEL1,NCBITaxon:9606,gene
ENSG00000013561,FALSE,RNF14,NCBITaxon:9606,gene
